Sample.mat	Event.label	Event.device	Event.comment	Event.date	Season	Season.moment	Month	Season.code	Season.moment.code	Latitude	Longitude	Env.feature	Depth.nominal	Depth.top.min	Depth.bottom.max	Method	Marine.biome	Ocean.region	Biogeographical.province	pH	CO2	CO2.partial.pressure	CO2.fugacity	HCO3	CO3	Carbon.total	Alkalinity.total	Calcite.saturation.state	Aragonite.saturation.state	NO2	PO4	NO2NO3	Si	NO3	Temperature	Conductivity	Salinity	Density	Oxygen	ChlorophyllA	Ang.scat.coef.470nm	Opt.backscat.coef.470nm	Part.backscat.coef	Fluorescence	Opt.beam.att.coef.660nm	Part.beam.att.coef	PAR.PC	PAR.TO	Ice.free.period	Moon.phase.prop	Sunshine.duration	Iron.5m	Iron.5m.v2	Ammonium.5m	NO2.5m	NO3.5m	NPP.uqartakuvik	NPP.vgpm	Gradient.Surface.temp.SST.	Okubo.Weiss	Lyapunov	Residence.time	acCDOM	acCDOM.atsushi	sCDOM.atsushi	Depth.euph.zone	Depth.Mixed.Layer	Depth.chloro.max	Depth.max.Brunt.Väisälä	Depth.Max.O2	Depth.Min.O2	Depth.nitracline	Carbon.flux	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC.heterotrophs.cells.mL	FC.autotrophs.cells.mL	FC.bacteria.cells.mL	FC.picoeukaryotes.cells.mL	minimum.generation.time.h
TARA_014_SRF	TARA_20091020T1728Z_014_EVENT_NET	plankton net [NET-DOUBLE-20]+[SIEVE-180]	none	2009-10-20T17:27	autumn	early	10	3	1	39.91	12.8266	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(500mL-or-15min)_N20-180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0	0.00635	0.0026	3e-04	0	0.00025	5e-04	0.01605	0.032125	0.97155	NA	21.620425	53.472219	38.11275	26.69265	211.4525	0.097919	8.3e-05	0.000724	0.002403	1.145	0.092613	0.071074	NA	19.416167	365	0.06	658	0.00138785251571486	0.001387852516	0.00994482326010863	0.0399858307403823	0.029376724579682	NA	NA	0.72074	0.178376	0.112674	0	0.013027485460043	NA	NA	80.9420166015625	38	79	48	42	298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_016_SRF	TARA_20091027T0822Z_016_EVENT_PUMP	high volume peristaltic pump [HVP-PUMP]	[Engineer's log: No EVENT Logsheet] [Curator's log: No EVENT Logsheet]	2009-10-27T08:22	autumn	middle	10	3	2	37.4956	15.4945	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(100L-or-15min)_W0.8-5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0	0.00665	0.00305	2e-04	0	0.00015	0.016565	0.02835	0.037	0.6661	NA	20.858567	52.67284	38.144833	26.929367	208.725167	0.11467	0.000132	0.00105	0.00273	1.183333	0.093002	0.076232	NA	17.807575	365	0.64	648	0.00138789714158823	NA	0.00481592700816691	0.040637217151622	0.0482628112658858	NA	NA	0.93822	-0.010883	NA	3.888889	0.0195622509345412	NA	NA	68.8522033691406	33	58	43	33	167	NA	0.402914222222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_016_SRF	TARA_20091027T0822Z_016_EVENT_PUMP	high volume peristaltic pump [HVP-PUMP]	[Engineer's log: No EVENT Logsheet] [Curator's log: No EVENT Logsheet]	2009-10-27T08:22	autumn	middle	10	3	2	37.4956	15.4945	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(500mL-or-15min)_W5-20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0	0.00665	0.00305	2e-04	0	0.00015	0.016565	0.02835	0.037	0.6661	NA	20.858567	52.67284	38.144833	26.929367	208.725167	0.11467	0.000132	0.00105	0.00273	1.183333	0.093002	0.076232	NA	17.807575	365	0.64	648	0.00138789714158823	NA	0.00481592700816691	0.040637217151622	0.0482628112658858	NA	NA	0.93822	-0.010883	NA	3.888889	0.0195622509345412	NA	NA	68.8522033691406	33	58	43	33	167	NA	0.402914222222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_016_DCM	TARA_20091027T1350Z_016_EVENT_PUMP	high volume peristaltic pump [HVP-PUMP]	[Device: equipped with [ECOTriplet] sensors that measure temperature, CDOM and chlorophyll fluorescence ] [Logsheet: (Dimier, Grimsley, Omerstad, Romag) all hosepipe out] [Curator's log: No EVENT Logsheet]	2009-10-27T13:50	autumn	middle	10	3	2	37.4532	15.4596	discrete depth within the epipelagic zone (ENVO:00000209) at the interface of the photic zone (ENVO:00000209) and the aphotic zone (ENVO:00000210), <50 m below a marine epipelagic wind mixed layer (ENVO:01000061)	65	63	67	SEQ-(500mL-or-15min)_W5-20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0.0053	0.0504	0.0196	0.0023	0.002	7e-04	0.0753	0.0161	0.94	NA	NA	15.256858	46.967814	38.442083	28.572508	217.759833	0.15011	6e-05	0.000554	0.002251	1.755833	0.061871	0.045101	NA	0.107819	365	0.64	648	0.00138789714158823	NA	0.00481592700816691	0.040637217151622	0.0482628112658858	NA	NA	0.9472	-0.010883	NA	3.888889	0.0190463634207845	NA	NA	70.2315406799316	39	72	48	40	834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_017_SRF	TARA_20091028T1300Z_017_EVENT_NET	plankton net [NET-DOUBLE-20]+[SIEVE-180]	[Logsheet: (Dimier, Grimsley, Omerstad, Romag) wait for 5 min/ PROTIST NET/ see Ecxel file] [Engineer's log: No EVENT Logsheet/ Time and Position approximated based on the sampling plan] [Curator's log: No EVENT Logsheet/ Time and Position approximated based on the sampling plan]	2009-10-28T13:00	autumn	middle	10	3	2	36.2749	14.3068	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(500mL-or-15min)_N20-180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.098525	52.422604	37.727125	26.544663	213.2415	0.015438	4.8e-05	0.000468	0.002144	1.19	0.071474	0.054704	NA	19.554912	365	0.73	649	0.00138788897311315	0.001387888973	0.00898640075077613	0.0280529546240966	0.013768387803187	NA	NA	2.4781	-0.5862	0.048917	5.416667	0.0155064179562032	NA	NA	81.369571685791	37	99	63	64	203	NA	0.227826777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_017_DCM	TARA_20091028T1445Z_017_EVENT_NET	plankton net [NET-DOUBLE-20]+[SIEVE-180]	[Logsheet: (Dimier, Grimsley, Omerstad, Romag) wait for 5 min/ PROTIST NET/ see Ecxel file] [Engineer's log: No EVENT Logsheet/ Time and Position approximated based on the sampling plan] [Curator's log: No EVENT Logsheet/ Time and Position approximated based on the sampling plan]	2009-10-28T14:45	autumn	middle	10	3	2	36.253	14.3033	discrete depth within the epipelagic zone (ENVO:00000209) at the interface of the photic zone (ENVO:00000209) and the aphotic zone (ENVO:00000210)	90	88	92	SEQ-(500mL-or-15min)_N20-180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.606738	47.918883	37.988962	27.9267	231.1405	0.101271	2.2e-05	0.000284	0.001973	1.565	0.041238	0.024468	NA	0.038339	365	0.73	649	0.00138788897311315	0.001387888973	0.00898640075077613	0.0280529546240966	0.013768387803187	NA	NA	2.4781	-0.5862	0.048917	5.416667	0.0151436026208103	NA	NA	80.8628349304199	37	99	63	64	203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_024_SRF	TARA_20091121T1319Z_024_EVENT_NET	plankton net [NET-BONGO-180]+[SIEVE-2000]	none	2009-11-21T13:19	autumn	middle	11	3	2	42.4593	17.9594	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(500mL-or-15min)_N180-2000	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.478025	50.027647	38.100813	27.52235	217.327125	0.105937	0.000271	0.001873	0.003557	1.465	0.142909	0.128302	NA	7.225049	365	0.2	575	0.00138782457603763	NA	0.00150308499966438	0.0240268732110659	0.0710941844930251	NA	NA	0.52321	NA	0	1.25	0.0566588025540113	NA	NA	48.5742969512939	12	36	47	31	178	NA	0.835811888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_024_SRF	TARA_20091121T1135Z_024_EVENT_NET	plankton net [NET-DOUBLE-20]+[SIEVE-180]	none	2009-11-21T11:35	autumn	middle	11	3	2	42.456	17.9393	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(500mL-or-15min)_N20-180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.478025	50.027647	38.100813	27.52235	217.327125	0.105937	0.000271	0.001873	0.003557	1.465	0.142909	0.128302	NA	7.462682	365	0.2	575	0.00138782457603763	NA	0.00150308499966438	0.0240268732110659	0.0710941844930251	NA	NA	0.52321	NA	0	1.25	0.0504583679139614	NA	NA	48.5742969512939	12	36	47	31	178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_025_SRF	TARA_20091123T0912Z_025_EVENT_PUMP	high volume peristaltic pump [HVP-PUMP]	[Engineer's log: No EVENT Logsheet] [Curator's log: No EVENT Logsheet]	2009-11-23T09:12	autumn	late	11	3	3	39.3888	19.3905	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(100L-or-15min)_W0.8-5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	8.136645	11.461316	344.759164	343.58112	NA	NA	NA	NA	NA	NA	0.00425	0.00525	0.03525	1.0505	NA	18.319192	49.946974	38.185333	27.633617	217.809833	0.104797	0.000103	0.000711	0.002397	1.465	0.086187	0.07158	NA	4.662947	365	0.37	587	0.00138795212842524	NA	0.0023266482554997	0.0286965935180585	0.0486669912934303	NA	420.545	2.0091	0.369749	0	0	0.0338688474148512	NA	NA	64.5722255706787	30	54	41	37	174	NA	0.0732848888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_025_DCM	TARA_20091123T1352Z_025_EVENT_PUMP	high volume peristaltic pump [HVP-PUMP]	[Device: equipped with [ECOTriplet] sensors that measure temperature, CDOM and chlorophyll fluorescence ]	2009-11-23T13:52	autumn	late	11	3	3	39.3991	19.3997	discrete depth within the epipelagic zone (ENVO:00000209) at the interface of the photic zone (ENVO:00000209) and the aphotic zone (ENVO:00000210), <50 m below a marine epipelagic wind mixed layer (ENVO:01000061)	50	48	52	SEQ-(100L-or-15min)_W0.8-5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1055	NA	0.3595	1.354	NA	15.181967	46.930593	38.489083	28.626442	229.908917	0.134028	8.2e-05	0.000561	0.00226	1.845	0.059185	0.044578	NA	0.04793	365	0.37	587	0.00138795212842524	NA	0.0023266482554997	0.0286965935180585	0.0486669912934303	NA	420.545	2.035	0.369749	0	0	0.0344400592148304	NA	NA	61.9281349182129	31	47	44	39	785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
