sample	station	event_date	marine_biome	ocean_region	biogeo_province	depth	biomeplot	polar	complete	coral_station	Season	Season.moment	Month	Season.code	Season.moment.code	Depth.nominal	Depth.top.min	Depth.bottom.max	Marine.biome	Ocean.region	Biogeographical.province	pH	CO2	CO2.partial.pressure	CO2.fugacity	HCO3	CO3	Carbon.total	Alkalinity.total	Calcite.saturation.state	Aragonite.saturation.state	NO2	PO4	NO2NO3	Si	NO3	Temperature	Conductivity	Salinity	Density	Oxygen	ChlorophyllA	Ang.scat.coef.470nm	Opt.backscat.coef.470nm	Part.backscat.coef	Fluorescence	Opt.beam.att.coef.660nm	Part.beam.att.coef	PAR.PC	PAR.TO	Ice.free.period	Moon.phase.prop	Sunshine.duration	Iron.5m	Iron.5m.v2	Ammonium.5m	NO2.5m	NO3.5m	NPP.uqartakuvik	NPP.vgpm	Gradient.Surface.temp.SST.	Okubo.Weiss	Lyapunov	Residence.time	acCDOM	acCDOM.atsushi	sCDOM.atsushi	Depth.euph.zone	Depth.Mixed.Layer	Depth.chloro.max	Depth.max.Brunt.Väisälä	Depth.Max.O2	Depth.Min.O2	Depth.nitracline	Carbon.flux	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC.heterotrophs.cells.mL	FC.autotrophs.cells.mL	FC.bacteria.cells.mL	FC.picoeukaryotes.cells.mL	minimum.generation.time.h	OR	lat	long
TARA_004_SRF	TARA_004	2009-09-15	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)	SRF	Westerlies	Non polar	no	no	summer	late	9	2	3	9	3	15	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.238088	50.082512	36.599199	25.909909	NA	0.180403	NA	NA	NA	NA	NA	NA	NA	14.83481	365	0.15	745	0.00138769762512917	NA	0.0228702432165543	0.0442594382911921	0.00806771474890411	NA	832.628	0.73994	NA	0.031746	4	0.0263170916587114	NA	NA	64.1495132446289	12	36	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NAO	36.5533	-6.5669
TARA_004_DCM	TARA_004	2009-09-15	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)	DCM	Westerlies	Non polar	no	no	summer	late	9	2	3	40	35	45	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.3584	46.063532	36.5811	26.8866	NA	0.535777	NA	NA	NA	NA	NA	NA	NA	0.662801	365	0.15	745	0.00138769762512917	NA	0.0228702432165543	0.0442594382911921	0.00806771474890411	NA	-4330.89	0.8599	NA	0.031746	4	0.0263170916587114	NA	NA	64.1495132446289	11	38	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NAO	36.5533	-6.5669
TARA_005_SRF	TARA_005	2009-09-20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	SRF	Westerlies	Non polar	no	no	summer	late	9	2	3	9	3	15	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0.0213	0.008525	0.246375	0.0067	0.0118	0.00155	0.0215	0.0925	0.3435	0.891375	NA	20.730517	51.230064	37.05135	26.1051	NA	0.607927	NA	NA	NA	NA	NA	NA	NA	21.106998	365	0.04	733	0.00138742728934934	NA	0.0173675790429115	0.0265678962071737	0.00958477744522194	NA	NA	6.8109	-10.41738	0.28453	13.638889	0.0166598046198487	NA	NA	74.3231239318848	26	59	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	36.0088	-4.5184
TARA_005_DCM	TARA_005	2009-09-20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	DCM	Westerlies	Non polar	no	no	summer	late	9	2	3	68	63	73	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0.0037	0.0119	0.0063	0.0028	0.0035	5e-04	0.3805	0.078	1.8925	1.146	NA	NA	NA	NA	NA	NA	0.341459	NA	NA	NA	NA	NA	NA	NA	NA	365	0.04	733	0.00138742728934934	NA	0.0173675790429115	0.0265678962071737	0.00958477744522194	NA	NA	6.3497	-10.41738	0.28453	13.638889	0.0162249710410833	NA	NA	76.1150588989258	38	39	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	36.0088	-4.5184
TARA_006_SRF	TARA_006	2009-09-21	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	SRF	Westerlies	Non polar	no	no	summer	late	9	2	3	9	3	15	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0.0213	0.008525	0.246375	0.0067	0.0118	0.00155	0.0215	0.0925	0.3435	0.891375	NA	18.589717	49.151071	37.212883	26.7997	NA	1.335038	NA	NA	NA	NA	NA	NA	NA	1.215399	365	0.09	731	0.0013831989102376	NA	0.0178799061104655	0.0306335411344965	0.0739912525750697	NA	NA	6.3497	NA	0	0	0.0786126926541328	NA	NA	39.2499313354492	11	15	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	36.5103	-3.9747
TARA_006_DCM	TARA_006	2009-09-21	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	DCM	Westerlies	Non polar	no	no	summer	late	9	2	3	35	30	40	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0.0076	0.006825	0.10605	0.00205	0.005125	0.00065	0.046	0.145875	2.499	1.736125	NA	18.878703	49.498228	37.239979	26.701723	NA	0.327175	NA	NA	NA	NA	NA	NA	NA	0.00012	365	0.09	731	0.0013831989102376	NA	0.0178799061104655	0.0306335411344965	0.0739912525750697	NA	NA	6.3497	NA	0	0	0.0672299414873123	NA	NA	41.3723163604736	11	15	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	36.5103	-3.9747
TARA_007_SRF	TARA_007	2009-09-23	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	SRF	Westerlies	Non polar	yes	no	autumn	early	9	3	1	9	3	15	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0	0.0067	0.00695	0.00065	0	0.00095	0.0445	0.0475	0.14325	0.7935	NA	23.8141	55.165982	37.522	25.61115	NA	0.189348	NA	NA	NA	NA	NA	NA	NA	1.794369	365	0.25	727	0.00138777678754802	NA	0.0152447197275857	0.0334897727395097	0.00691847107373178	NA	356.9545	1.0375	-1.3813	0	0	0.0159970745444298	NA	NA	79.045539855957	18	43	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	37.0112	1.946
TARA_007_DCM	TARA_007	2009-09-23	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	DCM	Westerlies	Non polar	yes	no	autumn	early	9	3	1	42	37	47	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0.0243	0.0273	0.0256	0.0265	0.0539	0.009	0	0.0065	0.028	0.4985	NA	17.521075	47.861517	37.1036	27.003675	NA	0.338691	NA	NA	NA	NA	NA	NA	NA	0.354641	365	0.25	727	0.00138777678754802	NA	0.0152447197275857	0.0334897727395097	0.00691847107373178	NA	356.9545	0.95289	-1.3813	0	0	0.017034457065165	NA	NA	77.6550407409668	24	45	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	37.0112	1.946
TARA_008_SRF	TARA_008	2009-09-27	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	SRF	Westerlies	Non polar	no	no	autumn	early	9	3	1	9	3	15	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0	0.0019	0.0018	0	0	0.00045	NA	NA	NA	NA	NA	23.8501	55.306361	37.6166	25.6694	NA	0	NA	NA	NA	NA	NA	NA	NA	18.704232	365	0.62	717	0.00138775878197824	0.001387758782	0.0150636518374085	0.0272800264259179	0.00533238468536486	NA	NA	0.95289	0.575455	0.062714	1.055556	0.0136812902055681	NA	NA	85.7493515014648	19	33	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	38.0017	3.9718
TARA_008_DCM	TARA_008	2009-09-27	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	DCM	Westerlies	Non polar	no	no	autumn	early	9	3	1	41	36	46	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0.038	0.0123	0.0344	0.0066	0.0119	0.0024	NA	NA	NA	NA	NA	17.0133	47.827293	37.541875	27.464925	NA	0.332064	NA	NA	NA	NA	NA	NA	NA	2.028372	365	0.62	717	0.00138775878197824	0.001387758782	0.0150636518374085	0.0272800264259179	0.00533238468536486	NA	NA	0.95289	0.575455	0.062714	1.055556	0.0143360546790063	NA	NA	86.1749305725098	19	33	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	38.0017	3.9718
TARA_009_SRF	TARA_009	2009-09-28	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	SRF	Westerlies	Non polar	no	no	autumn	early	9	3	1	9	3	15	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0	3e-04	3e-04	0	0	0	NA	NA	NA	NA	NA	24.4828	56.253971	37.8042	25.621	NA	0.136232	NA	NA	NA	NA	NA	NA	NA	19.939398	365	0.71	714	0.00138772993038098	0.00138772993	0.015086658919851	0.0487093214566509	0.0167545103468001	NA	240.841	0.95289	0.021447	0.190651	0	0.0107669080607593	NA	NA	91.0887298583984	25	54	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	39.0609	5.9422
TARA_009_DCM	TARA_009	2009-09-28	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	DCM	Westerlies	Non polar	no	no	autumn	early	9	3	1	60	55	65	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0.0071	0.0169	0.0067	0.002	0.0025	8e-04	NA	NA	NA	NA	NA	15.8045	46.779455	37.7984	27.94925	NA	0.442902	NA	NA	NA	NA	NA	NA	NA	0.878892	365	0.71	714	0.00138772993038098	0.00138772993	0.015086658919851	0.0487093214566509	0.0167545103468001	NA	240.841	0.35542	0.021447	0.190651	0	0.0119108161889017	NA	NA	87.3657531738281	NA	56	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	39.0609	5.9422
TARA_010_SRF	TARA_010	2009-09-30	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	SRF	Westerlies	Non polar	no	no	autumn	early	9	3	1	9	3	15	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.6849	56.10707	38.372725	26.292125	NA	0.192964	NA	NA	NA	NA	NA	NA	NA	13.471943	365	0.86	708	0.00138778088148683	NA	0.0125914473707477	0.0417071028302113	0.0167409076044957	NA	NA	0.82809	0.063913	0.187437	1.027778	0.0156838078983128	NA	NA	77.1284866333008	31	62	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	40.625	2.8899
TARA_010_DCM	TARA_010	2009-09-30	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	DCM	Westerlies	Non polar	no	no	autumn	early	9	3	1	110	105	115	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0	0.0109	0.0055	0.0017	7e-04	3e-04	NA	NA	NA	NA	NA	13.271675	45.177712	38.7239	29.23075	NA	0.198795	NA	NA	NA	NA	NA	NA	NA	0.001966	365	0.86	708	0.00138778088148683	NA	0.0125914473707477	0.0417071028302113	0.0167409076044957	NA	NA	0.92875	0.063913	0.187437	1.027778	0.015680365730077	NA	NA	77.1206893920898	30	72	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	40.625	2.8899
TARA_011_SRF	TARA_011	2009-10-04	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	SRF	Westerlies	Non polar	yes	no	unknown	unknown	10	NA	NA	9	3	15	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	365	1	697	0.00138777471147478	0.001387774711	0.00913240884741147	0.0318073155358434	0.0242744355152051	NA	NA	NA	NA	0	0	0.0272776391357183	NA	NA	85.0287857055664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MS	41.6632	2.7962
