Dataset	Station	Tara_Sample_ID	"Depth, nominal"	Fraction_size	Latitude	Longitude	Zooplankton	Copepoda	Rhizaria	Cnidaria	Tunicata	Eumalacostraca	Pteropoda	Chaetognatha	Other_large	Other_small	Other_unidentified	Small_grazers	Diatoms	Dinoflagelates	Acartiidae	Aetideidae	Arietellidae	Augaptilidae	Calanidae	Calanoida_unidentified	Candaciidae	Centropagidae	Corycaeidae	Eucalanidae	Euchaetidae	Harpacticoida	Heterorhabdidae	Lubbockiidae	Metridinidae	Monstrilloida	Oithonidae	Oncaeidae	Paracalanidae	Pontellidae	Rhincalanidae	Sapphirinidae	Temoridae	All Calanoida	All Cyclopoida	All Harpacticoida	All Monstrilloida	All Poecilostomatoida	Copepoda_unidentified
wp2	TARA_015	TARA_A200000203	0-100	200	39.9670	13.8176	513.02	445.71	2.63	0.69	14.74	2.97	4.23	5.03	4.46	8.80	10.74	25.83	0.00	0.00	16.11	0.00	0.00	0.00	2.97	263.20	1.14	0.00	39.89	0.11	0.11	0.11	1.03	0.00	2.74	0.00	43.43	16.11	2.86	0.00	0.00	0.57	35.54	325.83	43.43	0.11	0.00	56.57	5.94
wp2	TARA_016	TARA_A100000042	0-100	200	37.4355	15.4675	586.21	527.39	6.40	3.66	3.81	3.66	0.15	9.14	5.18	9.14	11.12	18.90	0.00	1.22	1.83	0.00	0.00	1.37	2.90	299.43	1.37	0.76	40.69	1.22	1.52	1.22	1.98	0.00	13.41	0.00	60.95	29.41	33.37	0.00	0.00	0.30	23.77	382.93	60.95	1.22	0.00	70.40	11.43
wp2	TARA_017	TARA_A100000125	0-100	200	36.2597	14.3076	319.08	253.14	5.56	1.87	21.68	1.60	3.05	9.26	10.02	6.78	10.36	8.57	0.00	0.65	3.05	0.00	0.00	0.11	0.00	104.00	1.33	3.05	17.94	0.00	0.61	0.00	0.00	0.00	4.27	0.00	70.93	18.97	11.62	0.00	0.00	0.04	11.09	139.12	70.93	0.00	0.00	36.95	8.08
wp2	TARA_018	TARA_X000000023	0-100	200	35.7591	14.2565	1057.13	934.78	3.84	7.06	36.94	0.24	1.25	15.65	13.22	18.90	21.06	25.26	0.00	1.25	19.02	0.00	0.00	0.16	1.33	532.63	4.51	1.25	56.28	0.00	1.53	0.04	1.41	0.00	6.59	0.00	154.08	95.57	45.49	0.00	0.00	0.08	9.45	623.37	154.08	0.04	0.00	151.92	11.53
wp2	TARA_020	TARA_A100000741	0-100	200	34.4840	14.9083	300.72	252.92	11.08	0.08	6.40	0.84	11.60	3.16	6.72	6.00	11.20	2.56	0.00	1.28	7.04	0.00	0.00	0.00	0.04	103.84	0.84	0.00	38.52	0.04	2.00	0.00	0.00	0.00	9.60	0.00	22.40	33.32	8.32	0.64	0.00	0.00	1.28	133.64	22.40	0.00	0.00	71.84	17.36
wp2	TARA_021	TARA_S200001200	0-100	200	37.5112	17.2821	1135.36	959.52	46.72	7.04	28.96	2.56	16.48	13.12	15.20	19.84	20.48	25.92	0.00	5.12	7.84	0.00	0.00	0.32	10.72	627.68	5.44	2.56	23.84	0.00	2.72	0.00	0.16	0.00	2.72	0.00	63.20	53.92	57.44	0.00	0.00	0.32	10.72	728.32	63.20	0.00	0.00	78.08	67.68
wp2	TARA_022	TARA_S200001402	0-100	200	39.8280	17.4039	358.15	287.63	0.59	2.59	8.81	0.44	4.52	7.85	14.96	19.85	4.04	19.30	0.00	4.15	3.26	0.00	0.00	0.74	1.04	242.44	2.37	0.30	18.19	0.00	8.07	1.78	0.37	0.00	3.96	0.00	59.89	13.93	5.04	0.00	0.00	0.00	14.82	282.41	59.89	1.78	0.00	32.11	53.22
wp2	TARA_023	TARA_E200001800	0-100	200	42.1760	17.7256	199.03	171.10	0.53	0.67	8.83	0.03	1.07	3.77	3.27	4.40	3.33	6.43	0.00	0.00	0.53	0.00	0.00	0.03	0.57	116.13	1.07	1.10	2.20	0.17	0.03	0.53	0.00	0.00	7.50	0.00	29.40	5.93	2.13	0.00	0.00	0.00	1.60	130.87	29.40	0.53	0.00	8.13	10.83
wp2	TARA_024	TARA_A100000607	0-100	200	42.4569	17.9521	135.76	111.62	2.07	0.90	4.07	0.28	1.69	2.34	5.24	1.79	6.59	7.07	0.00	0.14	0.83	0.00	0.00	1.07	0.10	72.48	0.28	0.69	3.24	0.00	0.62	0.00	0.03	0.00	1.03	0.00	23.55	2.59	0.62	0.00	0.00	0.28	0.59	78.35	23.55	0.00	0.00	6.10	5.93
wp2	TARA_025	TARA_A100000617	0-100	200	39.3751	19.4096	327.20	267.63	3.26	0.74	20.00	0.15	3.63	3.11	5.35	5.02	4.98	21.79	0.00	0.00	0.52	0.00	0.00	8.00	2.65	184.65	0.49	0.98	12.15	0.52	2.46	0.52	0.00	0.00	6.12	0.00	33.57	4.95	3.08	0.00	0.03	0.15	1.02	210.52	33.57	0.52	0.00	17.26	4.89
