sample_id_pangaea	sample_material	event_date	event_latitude	event_longitude	depth_nominal	marine_biome	ocean_region	biogeo_province	station	depth	size_fraction	lower_size_fraction	upper_size_fraction	depthplot	sizeplot	station_plot	biomeplot	polar	abs_lat	uniq	complete	coral_station
TARA_A100000005	TARA_014_SRF_20-180	2009-10-20T17:27	39.91	12.8266	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	014	SRF	20-180	20	180	SRF	micro	014 SRF	Westerlies	Non polar	39.91	yes	no	no
TARA_A100000032	TARA_016_SRF_0.8-5	2009-10-27T08:22	37.4956	15.4945	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	016	SRF	0.8-5	0.8	5	SRF	piconano	016 SRF	Westerlies	Non polar	37.4956	yes	no	no
TARA_A100000035	TARA_016_DCM_0.8-5	2009-10-27T13:50	37.4532	15.4596	65	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	016	DCM	0.8-5	0.8	5	MIX/DCM	piconano	016 MIX/DCM	Westerlies	Non polar	37.4532	yes	no	no
TARA_A100000036	TARA_016_SRF_5-20	2009-10-27T08:22	37.4956	15.4945	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	016	SRF	5-20	5	20	SRF	nano	016 SRF	Westerlies	Non polar	37.4956	yes	no	no
TARA_A100000037	TARA_016_DCM_5-20	2009-10-27T13:50	37.4532	15.4596	65	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	016	DCM	5-20	5	20	MIX/DCM	nano	016 MIX/DCM	Westerlies	Non polar	37.4532	yes	no	no
TARA_A100000038	TARA_016_SRF_5-20	2009-10-27T08:22	37.4956	15.4945	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	016	SRF	5-20	5	20	SRF	nano	016 SRF	Westerlies	Non polar	37.4956	no	no	no
TARA_A100000039	TARA_016_DCM_5-20	2009-10-27T13:50	37.4532	15.4596	65	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	016	DCM	5-20	5	20	MIX/DCM	nano	016 MIX/DCM	Westerlies	Non polar	37.4532	no	no	no
TARA_A100000130	TARA_017_SRF_20-180	2009-10-28T13:00	36.2749	14.3068	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	017	SRF	20-180	20	180	SRF	micro	017 SRF	Westerlies	Non polar	36.2749	yes	no	no
TARA_A100000134	TARA_017_DCM_20-180	2009-10-28T14:45	36.253	14.3033	90	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	017	DCM	20-180	20	180	MIX/DCM	micro	017 MIX/DCM	Westerlies	Non polar	36.253	yes	no	no
TARA_A100000164	TARA_018_SRF_0.22-1.6	2009-11-02T08:13	35.759	14.2574	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	018	SRF	0.22-1.6	0.22	1.6	SRF	pico	018 SRF	Westerlies	Non polar	35.759	yes	yes	no
TARA_A100000357	TARA_024_SRF_180-2000	2009-11-21T13:19	42.4593	17.9594	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	024	SRF	180-2000	180	2000	SRF	meso	024 SRF	Westerlies	Non polar	42.4593	yes	no	no
TARA_A100000360	TARA_024_SRF_20-180	2009-11-21T11:35	42.456	17.9393	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	024	SRF	20-180	20	180	SRF	micro	024 SRF	Westerlies	Non polar	42.456	yes	no	no
TARA_A100000362	TARA_024_SRF_0.8-20	2009-11-21T11:10	42.4552	17.9348	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	024	SRF	0.8-20	0.8	20	SRF	piconano	024 SRF	Westerlies	Non polar	42.4552	yes	no	no
TARA_A100000393	TARA_025_SRF_0.8-5	2009-11-23T09:12	39.3888	19.3905	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	025	SRF	0.8-5	0.8	5	SRF	piconano	025 SRF	Westerlies	Non polar	39.3888	yes	yes	no
TARA_A100000394	TARA_025_SRF_5-20	2009-11-23T09:12	39.3888	19.3905	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	025	SRF	5-20	5	20	SRF	nano	025 SRF	Westerlies	Non polar	39.3888	yes	yes	no
TARA_A100000396	TARA_025_DCM_0.8-5	2009-11-23T13:52	39.3991	19.3997	50	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	025	DCM	0.8-5	0.8	5	MIX/DCM	piconano	025 MIX/DCM	Westerlies	Non polar	39.3991	yes	yes	no
TARA_A100000398	TARA_025_DCM_5-20	2009-11-23T13:52	39.3991	19.3997	50	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	025	DCM	5-20	5	20	MIX/DCM	nano	025 MIX/DCM	Westerlies	Non polar	39.3991	yes	yes	no
TARA_A100000400	TARA_025_SRF_20-180	2009-11-23T09:14	39.3885	19.3906	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	025	SRF	20-180	20	180	SRF	micro	025 SRF	Westerlies	Non polar	39.3885	yes	yes	no
TARA_A100000402	TARA_025_SRF_180-2000	2009-11-23T11:02	39.2143	19.406	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	025	SRF	180-2000	180	2000	SRF	meso	025 SRF	Westerlies	Non polar	39.2143	yes	yes	no
TARA_A100000532	TARA_022_SRF_180-2000	2009-11-16T19:53	39.8312	17.3952	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	SRF	180-2000	180	2000	SRF	meso	022 SRF	Westerlies	Non polar	39.8312	yes	no	no
TARA_A100000534	TARA_022_SRF_0.8-5	2009-11-16T08:16	39.8386	17.4155	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	SRF	0.8-5	0.8	5	SRF	piconano	022 SRF	Westerlies	Non polar	39.8386	yes	no	no
TARA_A100000536	TARA_022_SRF_180-2000	2009-11-16T19:53	39.8312	17.3952	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	SRF	180-2000	180	2000	SRF	meso	022 SRF	Westerlies	Non polar	39.8312	no	no	no
TARA_A100000538	TARA_022_SRF_20-180	2009-11-16T13:40	39.814	17.4138	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	SRF	20-180	20	180	SRF	micro	022 SRF	Westerlies	Non polar	39.814	yes	no	no
TARA_A100000539	TARA_022_SRF_5-20	2009-11-16T08:16	39.8386	17.4155	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	SRF	5-20	5	20	SRF	nano	022 SRF	Westerlies	Non polar	39.8386	yes	no	no
TARA_A100000546	TARA_023_SRF_180-2000	2009-11-18T10:17	42.1916	17.7175	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	SRF	180-2000	180	2000	SRF	meso	023 SRF	Westerlies	Non polar	42.1916	yes	yes	no
TARA_A100000547	TARA_023_SRF_5-20	2009-11-18T08:41	42.2038	17.715	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	SRF	5-20	5	20	SRF	nano	023 SRF	Westerlies	Non polar	42.2038	yes	yes	no
TARA_A100000548	TARA_023_SRF_20-180	2009-11-18T12:56	42.1735	17.7175	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	SRF	20-180	20	180	SRF	micro	023 SRF	Westerlies	Non polar	42.1735	yes	yes	no
