sample_id_pangaea	par	depth_bathy	lyapunov_exp	temperature	chla	backscattering	depth_chl_max	mixed_layer_depth_sigma	depth_max_brunt_väisälä	nitrite	phosphate	nitrate_nitrite	silicate	nstar
TARA_A100000005	25.862005	-3617	0.112674	21.620425	0.097919	0.002403	79	37	48	5e-04	0.01605	0.032125	0.97155	-0.224675
TARA_A100000032	29.284851	-2049		20.858567	0.11467	0.00273	58	33	43	0.016565	0.02835	0.037	0.6661	-0.4166
TARA_A100000035	29.284851	-2034		15.256858	0.15011	0.002251	72	31	48	0.0753	0.0161	0.94		0.6824
TARA_A100000036	29.284851	-2049		20.858567	0.11467	0.00273	58	33	43	0.016565	0.02835	0.037	0.6661	-0.4166
TARA_A100000037	29.284851	-2034		15.256858	0.15011	0.002251	72	31	48	0.0753	0.0161	0.94		0.6824
TARA_A100000038	29.284851	-2049		20.858567	0.11467	0.00273	58	33	43	0.016565	0.02835	0.037	0.6661	-0.4166
TARA_A100000039	29.284851	-2034		15.256858	0.15011	0.002251	72	31	48	0.0753	0.0161	0.94		0.6824
TARA_A100000130	33.927135	-559	0.048917	21.098525	0.015438	0.002144	99	27	63					
TARA_A100000134	33.927135	-559	0.048917	16.606738	0.101271	0.001973	99	27	63					
TARA_A100000164	23.315666	-793	0.066158	21.48665	0.013344	0.002126	80	51	61	0.01833	0.0256	0.118	0.5571	-0.2916
TARA_A100000357	15.20563	-334	0	18.478025	0.105937	0.003557	36	10	47					
TARA_A100000360	15.797402	-334	0	18.478025	0.105937	0.003557	36	10	47					
TARA_A100000362	15.797402	-334	0	18.478025	0.105937	0.003557	36	10	47					
TARA_A100000393	18.948744	-1273	0	18.319192	0.104797	0.002397	54	30	41	0.00425	0.00525	0.03525	1.0505	-0.04875
TARA_A100000394	18.948744	-1273	0	18.319192	0.104797	0.002397	54	30	41	0.00425	0.00525	0.03525	1.0505	-0.04875
TARA_A100000396	18.948744	-1274	0	15.181967	0.134028	0.00226	47	30	44	0.1055		0.3595	1.354	
TARA_A100000398	18.948744	-1274	0	15.181967	0.134028	0.00226	47	30	44	0.1055		0.3595	1.354	
