station	depth	Depth.nominal	PO4	Si	Iron.5m	Ammonium.5m	NO2.5m	NO3.5m	Temperature	ChlorophyllA
100	DCM	50	0.7785	1.8815	3.27718252416768e-06	0.018424853682518	0.128016118581096	9.24222071965536	22.02668	0.239566
100	SUR	5	0.67725	1.15025	3.27718252416768e-06	0.018424853682518	0.128016118581096	9.24222071965536	25.349495	0.227673
102	DCM	40	1.8615	10.5045	4.39791703380858e-06	0.0343005945906043	0.573159586017331	7.14099454879761	19.781235	0.365239
102	SUR	5	1.02575	5.04425	4.39791703380858e-06	0.0343005945906043	0.573159586017331	7.14099454879761	24.958885	0.264409
109	DCM	30	0.50475	3.225	4.99377377612594e-06	0.0386574637765686	0.41164176662763	3.42335474366943	26.019185	0.329704
109	SUR	5	0.2865	1.7085	4.99377377612594e-06	0.0386574637765686	0.41164176662763	3.42335474366943	27.497475	0.272009
11	SUR	9	NA	NA	0.00138777471147478	0.00913240884741147	0.0318073155358434	0.0242744355152051	NA	NA
110	DCM	50	0.9295	5.407	5.49291015280081e-06	0.0425270448128382	0.645360056310892	6.02954892317454	22.039785	0.282031
110	SUR	5	0.77275	3.8635	5.49291015280081e-06	0.0425270448128382	0.645360056310892	6.02954892317454	23.88816	0.246175
111	DCM	90	0.443	0.9285	3.00705391964584e-06	0.0130755654536188	0.0434914482757449	7.84367124239604	19.783275	0.207911
111	SUR	5	0.5	1.0325	3.00705391964584e-06	0.0130755654536188	0.0434914482757449	7.84367124239604	22.78183	0.154999
122	SUR	5	0.56795	2.1905	2.31629201152828e-06	0.0301115935047468	0.0875584715201209	6.20714783668518	26.60467	0.177137
123	SUR	5	0.53495	2.2205	2.2765814643814e-06	0.0250830895577868	0.0547781143492709	6.23176415761312	26.586685	0.181215
124	SUR	5	0.63025	2.53325	2.45896757178343e-06	0.0231886209609608	0.052577804075554	6.23207982381185	26.572419	0.261381
125	SUR	5	0.55725	1.80475	2.35907905713854e-06	0.0174856502562761	0.0243334801246723	6.14682245254517	26.80604	0.178072
128	DCM	40	0.54925	2.7405	3.34505792428293e-06	0.0324202543124557	0.0788008189604928	3.82748258113861	26.139288	0.28262
128	SUR	5	0.53975	2.668	3.34505792428293e-06	0.0324202543124557	0.0788008189604928	3.82748258113861	26.218438	0.25349
131	DCM	110	0.0172	1.6413	0.000198943010521665	0.0158399121525387	0.00588271297359218	0.00245108513142137	22.3077	0.11445
131	SUR	5	0.0457	1.0473	0.000198943010521665	0.0158399121525387	0.00588271297359218	0.00245108513142137	26.275305	0.097229
132	DCM	115	0.1252	4.4468	0.000814380095107481	0.022323497881492	0.0235012033954263	0.00161844523972832	15.321075	0.158691
132	SUR	5	0.0062	2.4278	0.000814380095107481	0.022323497881492	0.0235012033954263	0.00161844523972832	25.164595	0.101563
135	DCM	30	0.370333	1.615166	3.36041846746108e-05	0.0227338994542758	0.0203621654460828	0.539206755890821	16.2703	0.267761
135	SUR	5	0.288583	1.223291	3.36041846746108e-05	0.0227338994542758	0.0203621654460828	0.539206755890821	17.46236	0.253087
136	SUR	5	0.3115	1.7995	5.27589274952334e-05	0.0126605637681981	0.00799120978141824	0.567577510732614	24.612275	0.184438
137	DCM	40	0.884	4.661	4.21179189894853e-06	0.0162001790789266	0.0237649796375384	3.00637382268906	20.58574	0.366719
137	SUR	5	0.456	2.538	4.21179189894853e-06	0.0162001790789266	0.0237649796375384	3.00637382268906	26.478605	0.251665
138	DCM	60	1.108	8.073	4.68884991278173e-06	0.0131725465568403	0.0204162315155069	2.89127292235692	17.291965	0.219944
138	SUR	5	0.1575	1.1855	4.68884991278173e-06	0.0131725465568403	0.0204162315155069	2.89127292235692	26.605515	0.125361
139	SUR	5	0.55525	3.454	4.50406525942526e-06	0.0163442466097573	0.0415434655733407	3.95397466421127	26.396617	0.348423
142	DCM	125	NA	1.168	0.00116824960180869	0.00934025567645828	0.0434836197334031	0.254889735331138	24.961605	0.114913
142	SUR	5	0.003	1.218	0.00116824960180869	0.00934025567645828	0.0434836197334031	0.254889735331138	24.98456	0.123459
143	DCM	40	0.001	1.23	0.00124196626711637	0.00638307747431099	0.0187819297425449	0.0890094578887026	24.82846	0.096165
143	SUR	5	0.0065	1.256	0.00124196626711637	0.00638307747431099	0.0187819297425449	0.0890094578887026	24.812165	0.09842
144	SUR	5	0	1.14325	0.00100284196863261	0.00850982312113047	0.053873828612268	1.54582562173406	22.939295	0.132109
145	SUR	5	0.33275	2.41425	0.00089459921582602	0.0131308049894869	0.11478065730383	2.42271615068118	13.993715	0.169817
146	SUR	5	NA	0.944	0.00110593110245342	0.00564043200574815	0.0351528713169197	0.618737520029148	19.312775	0.126112
147	SUR	5	0.001	0.797	0.00107623440756773	0.0063277167112877	0.0597866928825776	0.754704962174098	20.150733	0.1004
148	SUR	5	0.0015	0.728	0.00104127096710727	0.00639683147892356	0.026643260071675	0.215206315740943	20.481195	0.120903
149	SUR	5	NA	NA	0.00098384377391388	0.011274376573662	0.0692057036794722	0.470016162299241	18.82554	0.156401
150	DCM	40	0	0.8423	0.00110077684318336	0.0134359668008983	0.0238127287787696	0.0964772223718076	17.585567	0.21402
150	SUR	5	0.0055	0.8358	0.00110077684318336	0.0134359668008983	0.0238127287787696	0.0964772223718076	17.627142	0.191003
151	DCM	80	0.022	0.6335	0.00129950981742392	0.0210448717698455	0.0361690705564494	0.306125076972724	16.74703	0.16463
151	SUR	5	0.0125	0.6545	0.00129950981742392	0.0210448717698455	0.0361690705564494	0.306125076972724	17.303005	0.111686
152	SUR	5	0.1595	1.236	0.000994761930390571	0.0225599464029074	0.0529231587424874	0.325422209803946	14.31675	0.191493
155	DCM	40	0.566253	3.554362	0.000426155762397684	0.00718920450890437	0.0101297681061017	0.689068984091894	10.79018	0.789471
155	SUR	5	0.401861	0.967928	0.000426155762397684	0.00718920450890437	0.0101297681061017	0.689068984091894	11.09547	0.772148
158	DCM	25	0.709183	4.95809	0.000599484250415117	0.0237013849352176	0.0327859098712603	5.40594208240509	6.73489	0.764172
158	SUR	5	0.356899	4.012069	0.000599484250415117	0.0237013849352176	0.0327859098712603	5.40594208240509	8.47447	1.174328
163	SUR	5	0.290483	4.18531	0.000874156539794058	0.0145570523648833	0.0189391774280618	11.7432579994202	1.899612	2.780097
168	DCM	40	0.098435	1.135333	0.000430005408513049	0.00697931119551261	0.00160999117982404	0.0414304937197206	3.824545	1.1063
168	SUR	5	0	1.725127	0.000430005408513049	0.00697931119551261	0.00160999117982404	0.0414304937197206	7.48766	0.825342
173	DCM	35	0.209065	0.231772	0.00121553147134061	0.00408161628486899	0.0206187068639944	6.2408983707428	-1.29785	2.003142
173	SUR	5	0.056871	0.273079	0.00121553147134061	0.00408161628486899	0.0206187068639944	6.2408983707428	-0.160312	0.417069
175	DCM	NA	NA	NA	NA	NA	NA	NA	NA	NA
175	SUR	5	0.063634	0.523062	0.0010933797651281	0.00058937332869391	0.00329365434784753	6.75046539306641	1.365705	1.019477
178	SUR	5	0.047034	0.244154	0.00132850349958365	0.0034283140169767	0.021517910528928	5.08855684598287	1.325833	0.119264
18	DCM	60	0.0131	0.58135	0.00138789506551499	0.0091195614853253	0.0300156219551961	0.0102722228039056	18.30575	0.076875
18	SUR	5	0.0256	0.5571	0.00138789506551499	0.0091195614853253	0.0300156219551961	0.0102722228039056	21.48665	0.013344
180	DCM	30	0.482771	8.877352	0.00138765590963885	0.00347439909819514	0.0166713395155966	2.74298050006231	-1.533492	0.509085
180	SUR	5	0.238302	11.775524	0.00138765590963885	0.00347439909819514	0.0166713395155966	2.74298050006231	2.507887	0.547446
188	DCM	17	0.307592	0.851791	0.00130413905329381	0.00225790410892538	0.0107508251579323	4.44297659397125	-1.647244	1.375654
188	SUR	5	0.216027	0.465648	0.00130413905329381	0.00225790410892538	0.0107508251579323	4.44297659397125	-1.649738	1.417326
189	DCM	20	NA	NA	0.00127005092023561	0.000620583539178673	0.00842355004472969	4.56070709228516	-0.607125	0.892787
189	SUR	5	NA	NA	0.00127005092023561	0.000620583539178673	0.00842355004472969	4.56070709228516	0.10149	0.815481
191	SUR	5	1.195806	19.646147	0.00136062200181186	0.00026044325828245	0.00879067892416666	7.26876378059387	1.48885	0.431723
193	SUR	5	1.614977	30.149509	0.00070253733156278	0.0060298527047659	0.0959244507054488	14.0349630514781	2.4534	0.58652
194	DCM	35	0.866194	5.566842	0.000713809480657801	0.00294342708851521	0.0864545510460933	12.0937034289042	-0.987833	0.544297
194	SUR	5	0.361653	1.424261	0.000713809480657801	0.00294342708851521	0.0864545510460933	12.0937034289042	-0.585333	0.404899
196	SUR	5	0.430504	2.822912	0.000241070599561984	0.0284538995474577	0.258621321370204	3.97937967876593	2.5694	0.485962
20	SUR	5	NA	NA	0.00138797554730748	0.00884624818960826	0.0410984686265389	0.0152443726547062	21.5215	0.03716
201	DCM	36	0.6443	4.087196	0.000958759172741945	0.000747411436653541	0.01022430837232	6.63455661137899	-0.409335	0.879487
201	SUR	5	0.526245	2.062045	0.000958759172741945	0.000747411436653541	0.01022430837232	6.63455661137899	-1.32986	0.79676
205	SUR	5	0.560568	0.298067	0.000596423279300022	0.0189475159471234	0.152390116204818	1.68481968839963	-0.479225	1.1319
206	SUR	5	0.220883	1.04231	0.000494335637389061	0.0227937546248237	0.193231910467148	0.170150638868411	1.445315	0.771475
208	SUR	5	0.312072	0.819597	0.000453137031096655	0.0204536275317272	0.259672788282235	0.480761975049973	3.1965	0.39292
209	SUR	5	NA	NA	0.000488830803078599	0.0294335763901472	0.298488219579061	0.505696425835292	2.496125	0.825917
210	SUR	5	0.511975	2.252584	0.000208521467963389	0.0351793064425389	0.348001956939697	2.06166781981786	5.295265	0.613636
22	DCM	30	0.010725	1.59855	0.00138803782950466	0.00179241799438993	0.0265012976403038	0.0633485972260435	16.974267	0.168962
22	SUR	5	0.0133	1.9913	0.00138803782950466	0.00179241799438993	0.0265012976403038	0.0633485972260435	17.298758	0.155586
23	DCM	55	0.012	1.0505	0.00138787750620395	0.00143125304020941	0.0270646174127857	0.0774714822570483	15.180558	0.136877
23	SUR	5	0.012	1.372375	0.00138787750620395	0.00143125304020941	0.0270646174127857	0.0774714822570483	17.211742	0.103935
25	DCM	50	NA	1.354	0.00138795212842524	0.0023266482554997	0.0286965935180585	0.0486669912934303	15.181967	0.134028
25	SUR	5	0.00525	1.0505	0.00138795212842524	0.0023266482554997	0.0286965935180585	0.0486669912934303	18.319192	0.104797
26	SUR	5	0.0095	1.02675	0.00138795862828071	0.00274138831688712	0.03007304482162	0.0370823281506697	19.1055	0.123858
30	DCM	70	0	0.6655	0.00138815717461209	0.00327023347684493	0.034886073321104	0.0541556868702173	18.61621	0.091071
30	SUR	5	0.00025	0.816	0.00138815717461209	0.00327023347684493	0.034886073321104	0.0541556868702173	20.4425	0.067706
36	DCM	17	0.431	1.4395	0.00138773602278282	0.0289020451406638	0.00623557770935198	0.0026747470404492	25.329231	0.24107
36	SUR	5	0.3575	1.143	0.00138773602278282	0.0289020451406638	0.00623557770935198	0.0026747470404492	25.681369	0.205491
38	DCM	25	0.417	1.625	0.00138772641851877	0.0300325981030862	0.00427776932095488	0.00113878479896812	25.607735	0.185922
38	SUR	5	0.337	1.278	0.00138772641851877	0.0300325981030862	0.00427776932095488	0.00113878479896812	26.313595	0.113641
39	DCM	25	0.2465	1.2415	0.00138772013209139	0.0255101999888817	0.00472864528031399	0.00332351315349418	26.692435	0.196803
39	SUR	5	0.2335	1.515	0.00138772013209139	0.0255101999888817	0.00472864528031399	0.00332351315349418	27.089113	0.115273
4	DCM	40	NA	NA	0.00138769762512917	0.0228702432165543	0.0442594382911921	0.00806771474890411	16.3584	0.535777
4	SUR	9	NA	NA	0.00138769762512917	0.0228702432165543	0.0442594382911921	0.00806771474890411	20.238088	0.180403
40	SUR	5	0.27	1.792	0.00138771931718414	0.0214854997272293	0.00378922563201437	0.0049088184023276	27.584135	0.131603
41	DCM	60	0.846	3.5765	0.00138769942956666	0.0202778459837039	0.00404723803512752	0.0046988741766351	27.374181	0.166581
41	SUR	5	0.1565	1.3865	0.00138769942956666	0.0202778459837039	0.00404723803512752	0.0046988741766351	29.151544	0.092377
46	SUR	5	0.102	1.947	0.00127992371562868	0.0164385042153299	0.00912012586680551	0.00839148011679451	30.12475	0.148923
47	DCM	55	0.199	2.8465	0.0013135730017287	0.016535838910689	0.00839672097936273	0.00809043079304198	27.61325	0.132556
47	SUR	5	0.093	2.284	0.0013135730017287	0.016535838910689	0.00839672097936273	0.00809043079304198	30.15995	0.110314
48	SUR	5	0.0825	2.22425	0.00120944560815891	0.0138702445353071	0.00699915674825509	0.00811701295121262	29.818108	0.077086
51	DCM	80	0.1035	2.310375	0.00097728045269226	0.0112990311657389	0.00802495745786776	0.00405946664977819	25.25385	0.125502
51	SUR	5	0.07325	1.8665	0.00097728045269226	0.0112990311657389	0.00802495745786776	0.00405946664977819	27.488383	0.077188
52	DCM	75	0.159	2.824	0.00104826559739498	0.0105025597537557	0.00593672622926533	0.00694656484605124	25.212642	0.228414
