station	ocean	station_whole
3	NAO	003
4	NAO	004
5	MS	005
6	MS	006
7	MS	007
8	MS	008
9	MS	009
10	MS	010
11	MS	011
12	MS	012
14	MS	014
15	MS	015
16	MS	016
17	MS	017
18	MS	018
19	MS	019
20	MS	020
21	MS	021
22	MS	022
23	MS	023
24	MS	024
25	MS	025
26	MS	026
27	MS	027
30	MS	030
31	RS	031
32	RS	032
33	RS	033
34	RS	034
36	IO	036
37	IO	037
38	IO	038
39	IO	039
40	IO	040
41	IO	041
42	IO	042
43	IO	043
44	IO	044
45	IO	045
46	IO	046
47	IO	047
48	IO	048
49	IO	049
50	IO	050
51	IO	051
52	IO	052
53	IO	053
54	IO	054
56	IO	056
57	IO	057
58	IO	058
62	IO	062
64	IO	064
65	IO	065
66	SAO	066
67	SAO	067
68	SAO	068
69	SAO	069
70	SAO	070
71	SAO	071
72	SAO	072
73	SAO	073
74	SAO	074
75	SAO	075
76	SAO	076
77	SAO	077
78	SAO	078
79a	SAO	079a
79b	SAO	079b
80	SAO	080
81	SAO	081
82	SAO	082
83	SAO	083
84	SO	084
85	SO	085
86	SO	086
87	SO	087
88	SO	088
89	SO	089
90	SPO	090
91	SPO	091
92	SPO	092
93	SPO	093
94	SPO	094
95	SPO	095
96	SPO	096
97	SPO	097
98	SPO	098
99	SPO	099
100	SPO	100
102	SPO	102
106	SPO	106
109	NPO	109
110	SPO	110
111	SPO	111
112	SPO	112
113	SPO	113
114	SPO	114
115	SPO	115
116	SPO	116
117	SPO	117
118	SPO	118
119	SPO	119
120	SPO	120
121	SPO	121
122	SPO	122
123	SPO	123
124	SPO	124
125	SPO	125
126	SPO	126
127	SPO	127
128	SPO	128
129	NPO	129
130	NPO	130
131	NPO	131
132	NPO	132
133	NPO	133
134	NPO	134
135	NPO	135
136	NPO	136
137	NPO	137
138	NPO	138
139	NPO	139
140	NPO	140
141	NAO	141
142	NAO	142
143	NAO	143
144	NAO	144
145	NAO	145
146	NAO	146
147	NAO	147
148b	NAO	148b
148	NAO	148
149	NAO	149
150	NAO	150
151	NAO	151
152	NAO	152
153	NAO	153
155	NAO	155
158	AO	158
159	AO	159
160	AO	160
162	AO	162
163	AO	163
167	AO	167
168	AO	168
169	AO	169
170	AO	170
171	AO	171
172	AO	172
173	AO	173
174	AO	174
175	AO	175
176	AO	176
177	AO	177
178	AO	178
179	AO	179
180	AO	180
181	AO	181
182	AO	182
183	AO	183
184	AO	184
185	AO	185
186	AO	186
187	AO	187
188	AO	188
189	AO	189
190	AO	190
191	AO	191
192	AO	192
193	AO	193
194	AO	194
195	AO	195
196	AO	196
197	AO	197
198	AO	198
199	AO	199
200	AO	200
201	AO	201
202	AO	202
203	AO	203
204	AO	204
205	AO	205
206	AO	206
207	AO	207
208	AO	208
209	AO	209
210	AO	210
999	NAO	999
999	NPO	999
