seq.name	LHCtype
TARA_MED_95_MAG_00409_000000005183.5.1	LHCr9homolog
TARA_PSE_93_MAG_00241_000000000165.1.1	LHCr9homolog
TARA_MED_95_MAG_00396_000000000128.5.1	LHCr9homolog
TARA_ION_45_MAG_00177_000000005270.9.1	LHCr9homolog
TARA_MED_95_MAG_00396_000000003812.18.1	LHCr9homolog
Metagenome_centric_SAG_TOSAG51-11_Gene14717	LHCr9homolog
TARA_ARC_108_MAG_00262_000000004853.5.1	LHCr9homolog
TARA_ARC_108_MAG_00215_000000002469.34.1	LHCr9homolog
Metagenome_centric_SAG_TOSAG00-18_Gene7504	LHCr9homolog
TARA_MED_95_MAG_00362_000000002873.5.1	LHCr9homolog
TARA_MED_95_MAG_00415_000000000410.8.1	LHCr9homolog
Metagenome_centric_SAG_TOSAG41-5_Gene6138	LHCr9homolog
TARA_AON_82_MAG_00337_000000009079.9.4	LHCr9homolog
TARA_ION_45_MAG_00168_000000009030.26.1	LHCr9homolog
TARA_IOS_50_MAG_00056_000000001517.47.1	LHCr9homolog
Metagenome_centric_SAG_TOSAG46-2_Gene10140	LHCr9homolog
TARA_IOS_50_MAG_00125_000000003376.1.2	LHCr9homolog
TARA_ARC_108_MAG_00189_000000000349.4.1	LHCr9homolog
TARA_ARC_108_MAG_00137_000000000005.2.1	LHCr9homolog
TARA_PSW_86_MAG_00236_000000005247.16.1	LHCr9homolog
TARA_MED_95_MAG_00424_000000001410.2.1	LHCr9homolog
TARA_PSE_93_MAG_00171_000000000943.8.2	LHCr9homolog
TARA_ARC_108_MAG_00108_000000006683.11.1	LHCr9homolog
TARA_MED_95_MAG_00467_000000005619.4.1	LHCr9homolog
TARA_ARC_108_MAG_00217_000000001466.10.1	LHCr9homolog
TARA_ARC_108_MAG_00122_000000001983.13.1	LHCr9homolog
TARA_SOC_28_MAG_00049_extended_000000045458.1.1	LHCr9homolog
TARA_ARC_108_MAG_00222_000000006353.14.1	LHCr9homolog
TARA_ARC_108_MAG_00230_000000000128.2.1	LHCr9homolog
TARA_ARC_108_MAG_00310_000000013798.1.8	LHCr9homolog
TARA_PSW_86_MAG_00261_000000000313.7.2	LHCr9homolog
TARA_ARC_108_MAG_00138_000000001448.19.1	LHCr9homolog
TARA_MED_95_MAG_00394_000000003178.2.1	LHCr9homolog
TARA_ARC_108_MAG_00253_000000001059.5.1	LHCr9homolog
TARA_ARC_108_MAG_00219_000000002357.8.2	LHCr9homolog
TARA_PSW_86_MAG_00276_000000004204.2.1	LHCr9homolog
TARA_ARC_108_MAG_00256_000000003805.3.3	LHCr9homolog
