Genome_Id final names	Genome_Id (beta-version)	Niche_identification	METDB_match_98percent	METDB_taxonomy	Database	Source	RNAPOL_BLAST_IDENTITY	Novelty_Score_Try	Domain	Phytoplankton	Chloroa_b-bind	Photosynthesis_prediction	Functional_group	Domain	Taxa_Super_Groups	Best_taxonomy_KINGDON	Best_taxonomy_PHYLUM	Best_taxonomy_CLASS	Best_taxonomy_ORDER	Best_taxonomy_FAMILY	Best_taxonomy_GENRE	total_length	Estimated_length	num_contigs	N50	GC_content	Taille_des_introns_en_nt	Nombre_de_genes_sans_intron_	Taille_des_CDS_en_nt	contigs_avec_un_gene_min	Nombre_d'exons_par_gene	Taille_des_genes_en_nt	Taille_des_CDS_gene_pluri_en	Nombre_d'exons_/_gene_pluri	Couverture_en_bases_codante	Nombre_de_genes	Nombre_d'introns	ANVIO_completion	ANVIO_redundancy	BUSCO_completion	BUSCO_redundancy	completion_RNApol	Cluster_Size	RNApol_A_I	RNApol_A_II	RNApol_A_III	RNApol_A_total	RNApol_B_I	RNApol_B_II	RNApol_B_III	RNApol_B_total	RNApol_AB_total	Av_norm_Size_01_119_Stations	Av_norm_Size_02_119_Stations	Av_norm_Size_03_119_Stations	Av_norm_Size_04_119_Stations	Cosmopolitan_Score 0.8-2000µm	Average corrected coverage 0.8-2000µm	Cumul_Cov_119_Stations_4_sizes	Cosmopolitan_Score_119_Stations	Arctic_119_Stations	Atlantic_119_Stations	Indian_119_Stations	Mediterranean_119_Stations	Red Sea_119_Stations	Pacific_119_Stations	Southern_119_Stations	Phagocyte-generalist_prediction	Phagocyte-entamoebid_prediction	Phagocyte-rozellid_prediction	Prototrophy_prediction	area_2006	percent_area_2006	area_2090	percent_area_2090	area_2006_no_prob	percent_area_2006_no_prob	area_2090_no_prob	percent_area_2090_no_prob	Diff	Mean_Fe	Mean_NO3	Mean_Phos	Mean_Sal	Mean_Si	Mean_SI_NO3	Mean_T
TARA_ANE_2018_MAG_00101	TARA_ANE_MAG_00101	Yes			TARA_SMAGs	MAGs from Nat. Micro.	65.9346666666667	34.0653333333333	Eukarya	Phytoplankton	26	0.998367876317681	Group_04	Eukarya	Archaeplastida	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	19009552	24340015.3649168	1574	17015	69.437584827	188.76	7886	1307.99	99.9	1.36	1594.79	1587.18	2.32	74.6	10837	3910	92.8	4.8	78.1	0.4	100	2	1	1	1	3	1	1	1	3	6	100	0	0	0	4.61538461538462	0.418999394076923	129.593932566112	6.722689076	0	71.404927113621	0	27.4213091522919	0	1.17376373408708	0	0.013835682772713	0.036354763618613	0.030660647577951	0.926244663902079	1456903.02613345	0.004266810408361	1090433.99662864	0.0031935379658	2657755.04853772	0.007783728017967	1992316.86786072	0.005834869031128	-25.1539754486889	0.000697754439003	3.92421643856244	0.342148072731037	35.6100481473483	2.96716585831764	0.324496960585488	16.677196429326
TARA_AON_82_MAG_00012	TARA_AON_82_MAG_00012	No	METDB_00284	Ostreococcus lucimarinus	TARA_SMAGs	MAG	100	0	Eukarya	Phytoplankton	16	0.994946179313317	Group_04	Eukarya	Archaeplastida	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	12411452	15514315	623	31107	61.0440419163629	201.7	6150	1355.48	100	1.24	1674.1	1548.34	2.39	81.2	7437	1786	100	2.4	80	0.4	100	4	1	1	1	3	1	1	1	3	6	77.3152290780463	22.0323294989058	0.298124046042552	0.354317377005344	10	2.96489589461538	772.177405189981	18.48739496	0.500608171907028	69.75453693221	0	25.4178913835568	0	4.3269635123261	0	0.032789337051631	0.022293640604853	0.046639243256588	0.951667484227788																
TARA_AON_82_MAG_00097	TARA_AON_82_MAG_00097	No			TARA_SMAGs	MAG	79.308	20.692	Eukarya	Phytoplankton	28	0.989556510748856	Group_04	Eukarya	Archaeplastida	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	21823700	26744730.3921569	885	43144	69.6451698059447	231.08	7828	1604.68	100	1.39	1917.51	1842.51	2.38	79.9	10863	4189	96.4	8.4	81.6	1.6	100	1	1	1	1	3	1	1	1	3	6	100	0	0	0	13.0769230769231	0.455859420307692	94.9415222899875	14.28571429	0	52.29523135526	0.650212190587031	46.6343281194349	0	0.420228334718079	0	0.04826362790566	0.008702735803747	0.122049898211964	0.966447505307643																
TARA_AON_82_MAG_00118	TARA_AON_82_MAG_00118	No	METDB_00258	Micromonas pusilla	TARA_SMAGs	MAG	98.6093333333333	1.39066666666666	Eukarya	Phytoplankton	23	0.999178059641466	Group_04	Eukarya	Archaeplastida	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	19088604	25350071.7131474	1336	22051	67.3333451435852	193.11	5017	1500	100	1.87	1725.1	1757.56	2.8	76.5	9742	8516	85.5	0	75.3	0	66.6666666666667	1	1	1	1	3	0	0	1	1	4	100	0	0	0	3.84615384615385	0.145156402076923	71.3237280211795	4.201680672	0	53.5191642999109	0	46.4808357000891	0	0	0	0.004950824778108	0.0132115441294	0.016879684399642	0.970578966644324																
TARA_AON_82_MAG_00125	TARA_AON_82_MAG_00125	Yes			TARA_SMAGs	MAG	50.6036666666667	49.3963333333333	Eukarya		0	0.024154038021893	Group_05	Eukarya	Stramenopiles	Chromista	Heterokontophyta	Oomycota	New_Oomycota	New_Oomycota	New_Oomycota	60707190	70671932.4796275	6393	13018	63.632331199605	225.42	23048	1896.86	100	1.16	1968.45	3431.1	2.29	82.3	26344	4250	92.8	8.4	85.9	1.6	100	6	1	1	1	3	1	1	1	3	6	98.7112016226201	0	0.692808303626834	0.595990073753078	33.8461538461538	0.332605476307692	109.070068965472	42.01680672	0	33.2868480377109	15.9274564878436	39.525068083931	0	11.2606273905146	0	0.999987252047935	0.999384778845737	0.985360571627485	0.945396105629849	60950596.9705994	0.178505114537511	29886699.8879135	0.087528737236382	78561996.370916	0.23008336025405	41261089.7243096	0.120840745017365	-50.9656978383169	0.000786861860902	2.67643235097042	0.336297934905936	36.2385089755495	2.79687263955338	0.177991529709658	18.4070765142476
TARA_AON_82_MAG_00137	TARA_AON_82_MAG_00137	No			TARA_SMAGs	MAG	46.4436666666667	53.5563333333333	Eukarya		0	0.006453706375545	Group_05	Eukarya	Stramenopiles	Chromista	MAST-4	New_MAST-4	New_MAST-4	New_MAST-4	New_MAST-4	35678103	44821737.4371859	4408	9991	45.9073202138898	122.55	13719	1728.15	100	1.04	1778	2602.4	2.31	68.7	14183	609	88	4.8	79.6	1.2	83.3333333333333	3	1	1	1	3	1	0	1	2	5	91.4358901078626	7.81365818717391	0.750451704963533	0	21.5384615384615	0.340411165230769	87.8238649627756	33.61344538	2.76390542040963	57.3847950584958	3.96988481955586	24.6558277932258	0	11.2255869083129	0	0.999805835508854	0.996923009729465	0.973210773888255	0.653260303277611																
TARA_AON_82_MAG_00159	TARA_AON_82_MAG_00159	No			TARA_SMAGs	MAG	75.073	24.927	Eukarya	Phytoplankton	48	0.985696951836154	Group_04	Eukarya	Stramenopiles	Chromista	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	24267360	29630476.1904762	2892	10926	45.8291163802925	115.2	7247	1374.68	100	1.71	1616.75	1708.44	2.72	69.9	12343	8779	88	7.2	81.9	0.8	100	2	1	1	1	3	1	1	1	3	6	72.7755020390193	27.2244979609807	0	0	11.5384615384615	0.082618603153846	33.630736924	17.64705882	0	14.1716675328513	35.630149231683	22.0293277216389	27.7387195775005	0.430135936326361	0	0.003264351642877	0.001777570678952	0.201244114096829	0.940254966058272																
TARA_AON_82_MAG_00160	TARA_AON_82_MAG_00160	Yes			TARA_SMAGs	MAG	55.5515	44.4485	Eukarya		0	0.005385586688555	Group_05	Eukarya	Stramenopiles	Chromista	MAST-4	New_MAST-4	New_MAST-4	New_MAST-4	New_MAST-4	41941279	52426598.75	6324	7632	55.1151288172035	212.11	11552	2203.49	99.9	1.32	2304.72	3668.36	2.32	79.7	15179	4792	89.2	8.4	80	0	83.3333333333333	2	0	1	1	2	1	1	1	3	5	93.4863921589978	5.31270282272005	1.20090501828219	0	18.4615384615385	0.230945251615385	77.6024927613676	33.61344538	0	43.474988805473	9.11826879941446	40.0261716812031	0	7.38057071390943	0	0.999887598219112	0.998769083479179	0.956941617697999	0.927644618590945	45920272.7979549	0.13448602577833	35693006.37777	0.104533581430306	58607578.216024	0.1716431500624	45355583.3872339	0.132832228228366	-22.2717893362347	0.000822913623036	2.75482268387111	0.307075208421015	36.2057768555098	2.80317862271532	0.205892137863126	16.9722140271177
TARA_AON_82_MAG_00189	TARA_AON_82_MAG_00189	No	METDB_00379	Pycnococcus provasolii	TARA_SMAGs	MAG	49.4366666666667	50.5633333333333	Eukarya	Phytoplankton	28	0.999804999952985	Group_04	Eukarya	Archaeplastida	Plantae	Chlorophyta	Pyramimonadophyceae	Pseudoscourfieldiales	Pycnococcaceae	Pycnococcus	20976897	26352885.678392	2180	12387	57.3686915325849	209	10127	1378.85	100	1.12	1483.52	1491.13	2.1	74.8	11382	1379	90.4	12.1	79.6	1.2	100	1	1	1	1	3	1	1	1	3	6	72.5118508712997	14.0859769551271	9.5321496317823	3.87002254179082	4.61538461538462	0.105911206076923	43.1687250979017	9.243697479	0	63.1244885311424	0	20.9094399683405	15.9660715005172	0	0	0.109215742427808	0.077158898076292	0.19328930786514	0.973233078414071																
TARA_AON_82_MAG_00198	TARA_AON_82_MAG_00198	No			TARA_SMAGs	MAG	63.498	36.502	Eukarya	Phytoplankton	20	0.999421625636677	Group_04	Eukarya	Archaeplastida	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_incertae_sedis	Picochlorum	10527501	12854091.5750916	897	16501	59.9350980885216	153.15	3947	1335.73	100	1.57	1522.77	1528.65	2.51	80.8	6371	3650	88	10.8	81.9	0	100	1	1	1	1	3	1	1	1	3	6	62.5572654828147	21.825008605713	11.6438999000456	3.97382601142667	0.769230769230769	0.0591694955	14.0071418658616	1.680672269	0	90.6040004330865	0	9.39599956691352	0	0	0	0.000429001891935	0.000839456578063	0.003775080172175	0.977691724812018																
